gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
H-Power,Oahu,MSW,2025,375.1848000000005,6753326.3999999855,0.0
H-Power,Oahu,MSW,2030,375.1848000000005,6753326.3999999855,0.0
H-Power,Oahu,MSW,2035,375.1848000000005,6753326.3999999855,0.0
H-Power,Oahu,MSW,2040,375.1848000000005,6753326.3999999855,0.0
H-Power,Oahu,MSW,2045,375.1848000000005,6753326.3999999855,0.0
Honolulu_8,Oahu,multiple,2020,10.609903902826687,3395.16924890454,10396.451884329019
Honolulu_9,Oahu,multiple,2020,19.919946221470937,6374.382790870701,20875.136300157857
IC_Barge,Oahu,multiple,2020,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2025,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2030,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2035,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2040,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2045,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2020,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2025,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2030,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2035,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2040,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2045,0.0,0.0,0.0
IC_Schofield,Oahu,multiple,2020,45.754471765327956,959013.7282012743,32306.045792520003
IC_Schofield,Oahu,multiple,2025,72.49462394112993,1519487.3178060835,50790.08231392537
IC_Schofield,Oahu,multiple,2030,59.051727439611255,1237724.207134252,40956.40722466383
IC_Schofield,Oahu,multiple,2035,26.605010184058937,557641.0134578753,18952.88703572277
IC_Schofield,Oahu,multiple,2040,36.61476034598198,767445.3768517823,25512.271981158756
IC_Schofield,Oahu,multiple,2045,0.9698766472246313,20328.61452582827,0.0
Kahe_1,Oahu,multiple,2020,0.0,0.0,0.0
Kahe_2,Oahu,multiple,2020,32.39071146826813,10365.0276698458,26237.066444626
Kahe_3,Oahu,multiple,2020,318.8437458522029,102029.9986727047,255445.23081021017
Kahe_4,Oahu,multiple,2020,0.0,0.0,0.0
Kahe_5,Oahu,multiple,2020,547.4903100316004,175196.89921011243,430406.3517719106
Kahe_5,Oahu,multiple,2025,163.69444314232535,52382.22180554411,138166.23193865578
Kahe_5,Oahu,multiple,2030,166.93002594527988,53417.608302489556,134465.1666873286
Kahe_5,Oahu,multiple,2035,76.86745952661944,24597.587048518224,63278.00393059127
Kahe_5,Oahu,multiple,2040,0.0,0.0,0.0
Kahe_6,Oahu,multiple,2020,79.18248959836633,25338.39667147722,69620.74213457157
Kahe_6,Oahu,multiple,2025,50.56881089449104,16182.019486237132,41641.166330451146
Kahe_6,Oahu,multiple,2030,0.0,0.0,0.0
Kahe_6,Oahu,multiple,2035,0.0,0.0,0.0
Kahe_6,Oahu,multiple,2040,0.0,0.0,0.0
Kalaeloa_CC1,Oahu,multiple,2020,641.2919161438816,3847751.4968633,441168.88656904193
Kalaeloa_CC1,Oahu,multiple,2025,568.2703376003158,3409622.025601896,389223.7486574662
Kalaeloa_CC1,Oahu,multiple,2030,698.8511481630693,4193106.888978419,486336.12695519713
Kalaeloa_CC1,Oahu,multiple,2035,554.9109936178486,3329465.961707092,389297.7701233717
Kalaeloa_CC1,Oahu,multiple,2040,472.0856250000005,2832513.75,332926.03129659564
Kalaeloa_CC1,Oahu,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC2,Oahu,multiple,2020,574.9048855315879,3449429.313189533,395942.4960221506
Kalaeloa_CC2,Oahu,multiple,2025,490.64554577807644,2943873.2746684602,347031.38893815124
Kalaeloa_CC2,Oahu,multiple,2030,339.4339417410551,2036603.6504463314,236131.35220115818
Kalaeloa_CC2,Oahu,multiple,2035,343.5742785775295,2061445.6714651776,240345.56269606377
Kalaeloa_CC2,Oahu,multiple,2040,358.2772340314376,2149663.404188625,249816.65695224138
Kalaeloa_CC2,Oahu,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC3,Oahu,multiple,2020,84.2565930718864,505539.5584313184,57480.211300330295
Kalaeloa_CC3,Oahu,multiple,2025,57.75959373467125,346557.56240802736,39404.18261196109
Kalaeloa_CC3,Oahu,multiple,2030,51.63829020350015,309829.74122100073,35222.23421179021
Kalaeloa_CC3,Oahu,multiple,2035,35.82585419850129,214955.12519100777,24434.211179322432
Kalaeloa_CC3,Oahu,multiple,2040,37.18587167966593,223115.23007799554,25359.297272600546
Kalaeloa_CC3,Oahu,multiple,2045,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2020,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2025,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2030,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2035,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2040,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2045,0.0,0.0,0.0
OnshoreWind,Oahu,WND,2020,2036.2965593374342,0.0,0.0
OnshoreWind,Oahu,WND,2025,2019.3863420317962,0.0,0.0
OnshoreWind,Oahu,WND,2030,2012.2202940671127,0.0,0.0
OnshoreWind,Oahu,WND,2035,1844.6114225320086,0.0,0.0
OnshoreWind,Oahu,WND,2040,1932.9670315815981,0.0,0.0
OnshoreWind,Oahu,WND,2045,1923.4722867692774,0.0,0.0
SlopedDistPV,Oahu,SUN,2020,504.8016266974793,0.0,0.0
SlopedDistPV,Oahu,SUN,2025,478.0275382807307,0.0,0.0
SlopedDistPV,Oahu,SUN,2030,490.60790816592544,0.0,0.0
SlopedDistPV,Oahu,SUN,2035,483.5149866081578,0.0,0.0
SlopedDistPV,Oahu,SUN,2040,0.0,0.0,0.0
SlopedDistPV,Oahu,SUN,2045,812.4168108969527,0.0,0.0
Waiau_10,Oahu,multiple,2020,2.9737840843566126,10572.388649735622,2805.7127835102006
Waiau_10,Oahu,multiple,2025,2.3007437407006996,8179.5975498325415,2327.226194173645
Waiau_10,Oahu,multiple,2030,7.573345288125163,26924.735452683766,7379.148249180838
Waiau_10,Oahu,multiple,2035,1.0774875,3830.680470433893,3282.7596165000004
Waiau_10,Oahu,multiple,2040,0.0,0.0,0.0
Waiau_10,Oahu,multiple,2045,0.0,0.0,0.0
Waiau_6,Oahu,multiple,2020,4.3756978149939245,1400.2233007980558,4694.00113532639
Waiau_7,Oahu,multiple,2020,4.7171994177514875,1509.503813680476,6335.498490860188
Waiau_8,Oahu,multiple,2020,17.51428582858571,5604.571465147428,19985.546724837495
Waiau_9,Oahu,multiple,2020,0.0,0.0,0.0
Waiau_9,Oahu,multiple,2025,4.234046253963125,14284.865575872846,4740.250930680275
Waiau_9,Oahu,multiple,2030,0.0,0.0,0.0
Waiau_9,Oahu,multiple,2035,1.4962850321697752,5048.18069186874,3698.6078010396222
Waiau_9,Oahu,multiple,2040,0.0,0.0,0.0
Waiau_9,Oahu,multiple,2045,0.0,0.0,0.0
