gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
Coal_IGCC,North,Coal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC_CCS,North,Coal,2030,-3.0973233402201476e-15,-3.053341348789021e-11,-4.606482987378395e-13,-4.36429983171956e-16,-2.028195379073115e-10,-1.8021066865136407e-11,81.158690545014,0.8095999999999989
Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.17856635648,2.0,411840.16728896805,42780.0,34.251240903803506,0.846
Coal_ST,North,Coal,2020,14.832031392000001,50428.9067328,12750.80074707456,2.0,411840.16728896805,42780.0,34.0512409038035,0.846
Coal_ST,North,Coal,2030,14.832072,50429.044799999996,12750.835656959998,2.0,411840.16728896805,42780.0,34.051250212521666,0.846
Commercial_PV,Central,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Central,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,North,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,North,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,North,Geothermal,2020,8.490555608562001,244782.71819484245,0.0,1.0,458317.52960571623,0.0,82.80968645815618,0.9685807500000001
Geothermal,North,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,South,Geothermal,2020,25.471666825686,881217.7855014327,0.0,3.0,1367975.6355844461,0.0,88.30177610590287,0.96858075
Geothermal,South,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC,Central,NaturalGas,2020,0.0,0.0,0.0,2.0,226819.89511360374,11736.6,0.0,0.0
NG_CC,Central,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC,North,NaturalGas,2020,0.0,0.0,0.0,2.0,226819.89511360374,11736.6,0.0,0.0
NG_CC,North,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC,South,NaturalGas,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC,South,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_GT,Central,NaturalGas,2020,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
NG_GT,Central,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_GT,North,NaturalGas,2020,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
NG_GT,North,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_GT,South,NaturalGas,2020,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
NG_GT,South,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Central,Uranium,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,North,Uranium,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Central,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Central,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,North,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,North,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Central,Wind,2030,50.363475120000004,0.0,0.0,7.0,873208.6903219263,312480.0,23.54269505319886,0.82076
Wind,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,North,Wind,2030,33.129300129400065,0.0,0.0,4.66513458021114,719883.8854759331,260314.50957578162,29.58713509996988,0.8101148966238082
